"","SRX033482","SRX033489","SRX033479","SRX033490","SRX033480","SRX033472","SRX033485","SRX033493","SRX033475","SRX033486"
"ENSMUSG00000030108",4,8,1,4,2,3,3,3,0,4
"ENSMUSG00000030109",4,9,4,7,2,4,6,6,1,6
"ENSMUSG00000030110",18,92,68,100,20,46,76,90,31,48
"ENSMUSG00000030111",10,36,12,42,8,11,23,26,5,12
"ENSMUSG00000030120",1552,3363,2956,3616,1464,2870,1777,3663,2636,1557
"ENSMUSG00000030122",459,761,562,861,621,519,169,764,408,290
"ENSMUSG00000030124",6,11,6,21,3,8,9,9,3,8
"ENSMUSG00000030134",3508,6896,3978,7344,3040,3499,2379,5667,3054,2893
"ENSMUSG00000030137",92,127,110,138,71,90,101,207,84,71
"ENSMUSG00000030138",498,804,589,874,435,545,352,1081,485,520
"ENSMUSG00000030145",2,4,3,5,2,6,2,7,1,3
"ENSMUSG00000030157",10,42,12,41,14,12,14,33,12,20
"ENSMUSG00000030161",3542,9031,5668,9994,3849,5690,3555,9703,4623,3662
"ENSMUSG00000030168",638,1683,888,1833,585,718,590,1629,644,700
"ENSMUSG00000030170",10,21,30,15,3,7,7,24,8,8
"ENSMUSG00000030172",75,171,89,165,91,71,90,213,79,104
"ENSMUSG00000030188",14,38,19,50,22,14,14,42,27,17
"ENSMUSG00000030189",173,297,198,355,152,134,107,316,164,128
"ENSMUSG00000030199",5,9,24,18,6,18,19,21,17,10
"ENSMUSG00000030203",2,9,4,9,1,2,6,8,5,3
"ENSMUSG00000030208",16,22,14,33,20,12,26,42,11,22
"ENSMUSG00000030209",73,71,98,74,109,63,92,61,73,174
"ENSMUSG00000030213",719,1456,933,1539,616,929,894,1759,756,984
"ENSMUSG00000030218",61,188,63,230,63,56,151,184,36,94
"ENSMUSG00000030220",28,88,29,59,23,32,13,69,13,12
"ENSMUSG00000030222",24,38,14,42,18,31,21,37,23,16
"ENSMUSG00000030223",182,445,116,372,125,147,234,433,202,252
"ENSMUSG00000030225",16,23,18,31,18,12,11,23,10,11
"ENSMUSG00000030226",133,248,120,243,87,195,112,265,117,169
"ENSMUSG00000030231",808,1611,895,1770,632,1032,573,1611,806,824
"ENSMUSG00000030235",596,1082,436,1173,564,425,487,1157,469,635
"ENSMUSG00000030237",342,726,253,768,336,228,280,714,302,492
"ENSMUSG00000030245",38,61,45,91,47,36,37,80,50,51
"ENSMUSG00000030246",70,204,72,270,50,62,44,276,47,48
"ENSMUSG00000030247",28,85,36,59,31,56,22,77,39,29
"ENSMUSG00000030249",108,243,155,233,108,169,106,257,119,148
"ENSMUSG00000030255",115,211,91,236,90,50,42,108,43,39
"ENSMUSG00000030256",84,188,129,184,97,154,101,194,97,111
"ENSMUSG00000030259",9,37,9,25,7,15,18,31,4,11
"ENSMUSG00000030275",3568,7441,4026,7292,3676,3730,3347,7429,4420,5083
"ENSMUSG00000030279",710,1414,700,1572,574,605,667,1511,629,738
"ENSMUSG00000030282",44,67,29,93,65,35,28,118,46,47
"ENSMUSG00000030283",28,78,49,67,38,59,77,68,59,73
"ENSMUSG00000030286",46,136,54,125,41,56,81,146,52,77
"ENSMUSG00000030291",9,39,15,40,11,17,6,40,14,12
"ENSMUSG00000030298",39,59,29,55,24,52,32,74,23,26
"ENSMUSG00000030301",9,22,20,26,23,25,5,41,13,12
"ENSMUSG00000030302",101,244,258,235,105,267,240,315,215,123
"ENSMUSG00000030303",137,300,169,329,127,186,174,444,150,209
"ENSMUSG00000030306",286,646,439,659,253,529,327,564,382,339
"ENSMUSG00000030307",1159,2714,1648,3125,1062,2016,1626,2502,1260,1196
"ENSMUSG00000030310",649,1336,1365,1380,598,1421,1173,1554,1010,822
"ENSMUSG00000030314",98,206,131,238,89,138,156,265,141,126
"ENSMUSG00000030315",15,38,61,47,24,48,38,58,34,33
"ENSMUSG00000030317",177,504,207,480,190,217,213,382,165,244
"ENSMUSG00000030319",25,70,61,92,28,48,50,86,47,38
"ENSMUSG00000030324",1,7,7,11,3,4,4,8,2,8
"ENSMUSG00000030327",1567,3910,1836,3938,1776,2129,1953,4630,2053,2267
"ENSMUSG00000030335",9,13,7,20,8,5,8,11,6,6
"ENSMUSG00000030340",24,48,33,49,34,51,31,79,27,31
"ENSMUSG00000030342",42,51,29,81,20,26,37,85,22,34
"ENSMUSG00000030345",0,2,1,3,2,1,2,6,4,0
"ENSMUSG00000030347",247,638,315,664,266,318,239,698,307,372
"ENSMUSG00000030350",886,1777,1116,1923,881,1202,905,2148,1043,939
"ENSMUSG00000030351",1,0,2,6,4,8,8,15,4,9
"ENSMUSG00000030357",234,516,336,651,275,373,243,633,262,290
"ENSMUSG00000030376",3376,7311,7731,7231,3387,6805,4192,8552,5259,4183
"ENSMUSG00000030380",114,164,144,219,76,178,147,190,122,117
"ENSMUSG00000030393",217,480,164,450,218,195,217,490,268,390
"ENSMUSG00000030397",542,1083,1150,1218,597,1298,1019,1453,1031,798
"ENSMUSG00000030401",314,710,501,941,281,489,548,937,385,400
"ENSMUSG00000030406",7,24,28,30,15,12,10,26,19,4
"ENSMUSG00000030407",139,295,233,311,102,251,200,336,176,197
"ENSMUSG00000030410",231,457,333,527,156,333,231,480,215,228
"ENSMUSG00000030411",248,600,857,672,270,809,492,662,406,323
"ENSMUSG00000030413",17,89,54,76,24,27,30,69,16,32
"ENSMUSG00000030421",362,694,432,599,309,368,259,639,369,314
"ENSMUSG00000030423",138,370,147,372,123,146,166,399,160,190
"ENSMUSG00000030424",17,38,17,30,19,17,18,51,8,26
"ENSMUSG00000030431",14,16,35,34,7,22,33,22,21,13
"ENSMUSG00000030435",63,190,156,180,76,126,111,168,119,86
"ENSMUSG00000030446",22,16,10,25,4,9,7,33,15,21
"ENSMUSG00000030447",734,1888,904,1917,674,935,772,1944,803,860
"ENSMUSG00000030451",4352,8614,6738,8674,4585,6180,4767,9541,5095,5720
"ENSMUSG00000030469",8,22,14,32,12,12,10,30,12,15
"ENSMUSG00000030471",21,48,26,41,20,31,12,63,32,25
"ENSMUSG00000030474",4,23,10,20,2,8,11,22,6,19
"ENSMUSG00000030486",34,88,42,92,24,51,36,110,53,53
"ENSMUSG00000030493",22,49,16,40,14,18,23,48,24,15
"ENSMUSG00000030494",3,13,11,10,2,15,5,14,9,4
"ENSMUSG00000030500",121,432,129,343,168,164,201,401,202,266
"ENSMUSG00000030509",22,42,39,38,19,29,14,28,23,19
"ENSMUSG00000030513",136,322,262,373,109,223,123,305,128,138
"ENSMUSG00000030515",48,105,39,87,32,36,38,98,29,49
"ENSMUSG00000030522",218,538,261,524,240,222,221,511,198,328
"ENSMUSG00000030525",25,36,40,44,14,34,35,46,30,22
"ENSMUSG00000030528",28,85,35,77,31,35,30,88,57,42
"ENSMUSG00000030532",56,166,84,190,85,277,217,577,225,230
"ENSMUSG00000030533",14,24,25,23,8,13,22,23,12,13
"ENSMUSG00000030536",258,557,354,606,274,395,426,709,356,497
"ENSMUSG00000030539",11,23,21,23,10,10,25,25,16,16
"ENSMUSG00000030543",5,9,8,8,5,4,4,9,5,0
"ENSMUSG00000030545",6,16,11,12,5,8,11,13,9,3
"ENSMUSG00000030551",35,112,69,145,43,51,67,109,60,61
"ENSMUSG00000030553",0,2,10,5,0,7,3,2,2,3
"ENSMUSG00000030559",1,4,3,1,2,2,1,6,3,3
"ENSMUSG00000030579",55,126,70,166,46,60,47,122,52,59
"ENSMUSG00000030583",443,872,868,985,371,756,671,944,579,494
"ENSMUSG00000030588",68,140,101,136,53,103,91,180,103,77
"ENSMUSG00000030591",387,1104,561,1137,457,538,549,1317,472,571
"ENSMUSG00000030592",945,1536,1390,1391,691,1073,813,1123,957,746
"ENSMUSG00000030595",36,101,96,84,31,69,59,117,56,51
"ENSMUSG00000030600",119,272,390,288,104,332,286,392,249,249
"ENSMUSG00000030604",18,30,13,25,14,21,10,27,21,24
"ENSMUSG00000030605",1038,2472,1889,2916,986,2303,1548,3015,1537,1579
"ENSMUSG00000030606",7,23,16,30,7,23,20,42,20,20
"ENSMUSG00000030607",32,107,75,90,47,54,74,108,32,58
"ENSMUSG00000030611",29,40,27,70,18,23,31,76,18,38
"ENSMUSG00000030612",93,194,127,181,107,123,68,244,93,104
"ENSMUSG00000030613",15,23,19,30,13,13,17,37,11,18
"ENSMUSG00000030614",41,127,39,130,60,26,41,119,51,47
"ENSMUSG00000030615",14,26,13,29,10,10,9,31,18,19
"ENSMUSG00000030616",373,759,530,828,448,350,274,764,369,355
"ENSMUSG00000030619",21,25,29,45,23,15,10,40,28,14
"ENSMUSG00000030629",336,763,236,630,363,197,261,640,265,394
"ENSMUSG00000030638",229,568,192,629,211,196,125,588,192,240
"ENSMUSG00000030641",7,20,1,15,2,7,2,15,7,10
"ENSMUSG00000030643",112,246,141,290,100,162,148,306,193,176
"ENSMUSG00000030647",215,479,283,487,207,247,242,420,250,306
"ENSMUSG00000030652",75,164,124,223,58,133,67,157,83,64
"ENSMUSG00000030653",4817,11097,6190,10717,3599,5152,3852,8174,4331,3987
"ENSMUSG00000030654",1934,4787,2236,4774,2174,1905,1638,4638,2142,2324
"ENSMUSG00000030655",1941,4238,2979,4439,2035,2501,2281,4698,2404,3209
"ENSMUSG00000030657",37,43,93,66,44,86,59,71,64,67
"ENSMUSG00000030659",179,328,135,379,138,154,98,384,174,217
"ENSMUSG00000030660",249,629,252,599,272,275,270,639,314,464
"ENSMUSG00000030662",664,1526,856,1458,662,803,677,1776,712,880
"ENSMUSG00000030663",28,88,46,81,35,40,25,102,46,44
"ENSMUSG00000030677",15,33,26,36,19,27,20,55,14,29
"ENSMUSG00000030678",692,1593,1554,1949,713,1571,1242,1997,1199,917
"ENSMUSG00000030680",142,208,185,293,95,146,134,245,111,87
"ENSMUSG00000030682",844,1974,1459,2144,883,1400,1229,2342,1235,1257
"ENSMUSG00000030688",510,1042,698,1068,436,1023,613,1274,650,607
"ENSMUSG00000030695",88,310,273,357,105,278,143,352,163,74
"ENSMUSG00000030697",168,468,280,497,133,314,225,537,202,211
"ENSMUSG00000030699",15,15,9,30,21,14,8,14,12,11
"ENSMUSG00000030701",20,41,46,55,25,48,21,46,28,16
"ENSMUSG00000030703",3,10,11,21,4,7,3,11,6,9
"ENSMUSG00000030704",23,46,28,69,41,138,78,282,111,110
"ENSMUSG00000030708",0,2,3,6,0,2,1,12,5,1
"ENSMUSG00000030711",17,29,10,44,17,20,23,45,10,19
"ENSMUSG00000030717",7,14,12,21,1,10,12,11,2,8
"ENSMUSG00000030718",1393,3214,2132,3517,1381,2764,2146,5022,2125,2567
"ENSMUSG00000030722",5,31,14,21,16,10,7,22,14,10
"ENSMUSG00000030725",16,46,24,64,17,46,31,60,28,36
"ENSMUSG00000030729",740,1556,1481,1691,1299,773,1035,2016,1222,1653
"ENSMUSG00000030731",6,10,11,13,7,11,14,10,9,14
"ENSMUSG00000030733",636,1266,1200,1428,526,1222,908,1632,834,829
"ENSMUSG00000030735",85,149,96,152,74,108,89,165,93,85
"ENSMUSG00000030738",1021,2533,1504,2698,1166,1454,1099,2796,1172,1194
"ENSMUSG00000030742",1,10,11,8,5,7,5,5,0,2
"ENSMUSG00000030744",505,1143,612,1279,414,692,337,1213,388,400
"ENSMUSG00000030745",12,24,23,30,6,14,8,19,8,13
"ENSMUSG00000030747",900,1874,1242,1846,723,1021,612,1225,902,659
"ENSMUSG00000030748",8,22,11,20,8,10,9,19,12,3
"ENSMUSG00000030750",4,20,10,14,3,2,7,13,7,10
"ENSMUSG00000030751",87,243,104,230,101,105,93,272,101,139
"ENSMUSG00000030752",12,26,19,34,5,18,15,29,11,7
"ENSMUSG00000030753",49,117,42,124,50,44,47,118,45,55
"ENSMUSG00000030754",627,1480,636,1445,608,661,710,1995,833,1185
"ENSMUSG00000030760",3,12,10,11,8,13,16,25,11,13
"ENSMUSG00000030763",443,823,434,909,453,486,423,921,424,542
"ENSMUSG00000030766",61,134,105,185,50,133,98,141,85,106
"ENSMUSG00000030768",87,159,106,190,58,124,93,178,80,74
"ENSMUSG00000030772",1562,3055,3999,3450,2061,2393,1694,5150,2536,2400
"ENSMUSG00000030774",2590,6848,4087,7169,3288,3579,3688,9448,3901,4778
"ENSMUSG00000030775",5,13,6,12,5,4,6,15,12,6
"ENSMUSG00000030782",38,89,116,136,46,86,101,170,98,87
"ENSMUSG00000030785",19,73,53,69,10,25,34,60,23,22
"ENSMUSG00000030787",0,8,6,12,13,5,7,4,1,5
"ENSMUSG00000030788",20,33,34,47,20,29,22,44,23,23
"ENSMUSG00000030789",2,6,4,2,1,3,0,5,1,5
"ENSMUSG00000030790",8,22,20,25,11,14,18,22,8,13
"ENSMUSG00000030792",27,96,106,139,56,115,102,199,111,97
"ENSMUSG00000030793",13,41,27,40,12,17,21,25,16,18
"ENSMUSG00000030801",92,313,160,301,110,130,125,340,145,141
"ENSMUSG00000030802",13,37,24,44,13,37,22,54,18,17
"ENSMUSG00000030804",50,112,62,103,22,67,49,122,55,50
"ENSMUSG00000030806",649,1578,1010,1572,590,1119,488,1994,731,648
"ENSMUSG00000030811",390,751,985,930,464,955,824,1014,820,588
"ENSMUSG00000030814",5,7,3,9,9,10,4,5,7,7
"ENSMUSG00000030816",719,1319,983,1325,582,972,715,1487,851,701
"ENSMUSG00000030823",10,25,12,14,10,11,13,31,13,12
"ENSMUSG00000030826",12,21,17,25,17,23,32,35,21,21
"ENSMUSG00000030830",2,7,10,12,1,16,8,7,6,3
"ENSMUSG00000030835",1413,2968,2376,3234,1320,2004,1290,2945,1575,1343
"ENSMUSG00000030842",29,101,55,85,29,73,40,104,28,40
"ENSMUSG00000030847",80,150,104,235,100,111,129,196,65,91
"ENSMUSG00000030850",583,1378,786,1349,724,700,621,1512,737,770
"ENSMUSG00000030852",520,1210,740,1303,595,778,827,1544,650,777
"ENSMUSG00000030866",1,2,2,4,2,5,4,3,2,3
"ENSMUSG00000030867",7,12,23,19,5,7,9,17,11,8
"ENSMUSG00000030868",271,775,318,810,283,380,351,879,301,369
"ENSMUSG00000030870",22,39,20,30,21,19,25,43,27,34
"ENSMUSG00000030871",45,88,68,97,67,74,69,95,57,70
"ENSMUSG00000030876",424,1014,339,1003,367,421,342,1069,396,528
"ENSMUSG00000030878",174,446,229,582,168,182,118,345,166,146
"ENSMUSG00000030879",141,335,229,344,133,287,137,387,196,149
"ENSMUSG00000030880",294,541,382,625,248,375,195,537,282,228
"ENSMUSG00000030887",13,11,4,13,15,4,6,18,8,9
"ENSMUSG00000030889",32,87,70,89,21,67,56,115,62,42
"ENSMUSG00000030894",622,1505,716,1692,521,813,859,1652,705,836
"ENSMUSG00000030895",1,5,2,9,2,7,3,4,2,4
"ENSMUSG00000030897",10,24,20,31,10,18,18,32,23,9
"ENSMUSG00000030898",98,205,307,255,125,297,203,415,213,194
"ENSMUSG00000030905",234,560,470,647,218,389,239,416,199,238
"ENSMUSG00000030909",0,2,1,3,5,1,0,2,1,4
"ENSMUSG00000030917",10,18,13,15,11,15,3,9,8,8
"ENSMUSG00000030922",28,62,15,66,31,34,17,64,22,43
"ENSMUSG00000030929",1,5,0,9,1,2,1,5,0,5
"ENSMUSG00000030930",31,71,31,69,18,30,51,63,34,35
"ENSMUSG00000030934",529,1472,625,1453,655,682,509,1332,592,646
"ENSMUSG00000030942",470,1233,605,1225,582,516,359,942,532,509
"ENSMUSG00000030960",10,7,7,12,7,2,3,5,4,3
"ENSMUSG00000030966",7,23,12,35,17,22,11,40,17,24
"ENSMUSG00000030967",43,110,33,162,49,46,53,151,51,73
"ENSMUSG00000030970",71,201,145,249,75,152,138,240,95,106
"ENSMUSG00000030972",0,6,5,7,7,12,5,19,3,5
"ENSMUSG00000030978",143,309,124,352,173,166,145,360,140,182
"ENSMUSG00000030980",29,61,24,53,35,29,34,77,17,39
"ENSMUSG00000030981",6,8,3,6,0,3,3,3,3,5
"ENSMUSG00000030987",975,2188,1436,2068,1000,1435,1189,2284,1105,1065
"ENSMUSG00000030994",15,77,34,78,29,34,17,52,18,22
"ENSMUSG00000031004",39,77,74,97,26,30,34,75,23,38
"ENSMUSG00000031007",338,755,531,808,380,498,430,845,397,419
"ENSMUSG00000031015",115,267,178,291,92,173,104,277,163,140
"ENSMUSG00000031016",211,514,328,456,267,204,303,679,269,322
"ENSMUSG00000031021",76,125,78,175,80,64,77,147,45,82
"ENSMUSG00000031024",100,183,117,212,103,101,119,233,85,106
"ENSMUSG00000031026",7,21,21,14,4,25,21,29,13,14
"ENSMUSG00000031027",1,3,3,4,1,4,0,6,4,1
"ENSMUSG00000031028",70,138,138,180,65,108,112,253,69,67
"ENSMUSG00000031059",112,207,128,228,142,172,113,250,110,111
"ENSMUSG00000031060",32,31,37,64,23,50,52,46,26,32
"ENSMUSG00000031066",208,498,247,389,210,358,213,464,235,230
"ENSMUSG00000031068",30,53,46,52,43,43,36,51,31,34
"ENSMUSG00000031070",8,10,1,13,4,11,25,16,6,7
"ENSMUSG00000031073",0,0,0,0,0,2,2,3,4,0
"ENSMUSG00000031074",11,26,9,31,5,12,9,15,5,16
"ENSMUSG00000031077",28,45,26,42,23,34,35,50,21,24
"ENSMUSG00000031095",303,713,249,654,398,183,322,697,349,514
"ENSMUSG00000031099",4,13,12,10,3,6,10,6,3,5
"ENSMUSG00000031101",11,38,24,41,17,15,21,42,18,16
"ENSMUSG00000031103",3,7,7,15,0,0,4,9,2,4
"ENSMUSG00000031104",121,395,212,368,120,245,141,442,192,168
"ENSMUSG00000031105",48,106,31,97,49,70,46,107,68,79
"ENSMUSG00000031109",1,5,10,9,5,8,8,14,10,9
"ENSMUSG00000031112",9,8,2,5,6,2,1,4,2,3
"ENSMUSG00000031119",56,177,146,161,94,90,66,178,122,87
"ENSMUSG00000031134",14,26,10,32,23,12,1,20,10,6
"ENSMUSG00000031139",44,144,55,117,63,58,35,123,62,64
"ENSMUSG00000031144",414,1229,1195,1272,601,1238,581,1526,810,639
"ENSMUSG00000031147",2,7,4,6,0,5,2,2,3,4
"ENSMUSG00000031148",19,39,26,51,17,28,14,57,29,18
"ENSMUSG00000031149",23,76,71,74,28,81,70,105,51,55
"ENSMUSG00000031155",10,21,17,16,5,16,12,18,25,12
"ENSMUSG00000031157",86,251,83,250,71,92,93,303,70,133
"ENSMUSG00000031158",6,9,11,11,8,13,10,11,2,3
"ENSMUSG00000031165",0,0,1,3,1,2,4,5,1,4
"ENSMUSG00000031169",39,100,118,91,28,109,64,110,73,66
"ENSMUSG00000031170",1,5,6,14,8,3,1,6,7,3
"ENSMUSG00000031174",4,13,10,9,4,11,11,14,10,10
"ENSMUSG00000031176",72,224,98,277,81,83,43,198,88,76
"ENSMUSG00000031197",39,93,36,78,40,9,33,103,30,22
"ENSMUSG00000031198",6,14,6,19,12,11,15,13,6,15
"ENSMUSG00000031202",499,893,390,1007,484,371,390,1107,556,704
"ENSMUSG00000031207",15,13,12,14,4,18,7,20,7,6
"ENSMUSG00000031209",13,50,17,45,21,24,21,41,12,17
"ENSMUSG00000031210",11,27,22,27,6,24,14,30,12,16
"ENSMUSG00000031212",1,3,0,12,2,5,5,4,1,0
"ENSMUSG00000031217",30,61,49,78,37,66,54,69,33,37
"ENSMUSG00000031220",5,1,3,4,4,2,3,1,2,6
"ENSMUSG00000031221",57,206,78,229,62,85,83,221,63,119
"ENSMUSG00000031224",48,138,41,149,43,70,73,112,64,57
"ENSMUSG00000031226",6,26,9,27,11,14,12,24,6,11
"ENSMUSG00000031227",1692,3956,2362,4262,1731,2371,2451,4954,2336,2717
"ENSMUSG00000031230",8,28,8,23,7,6,7,18,3,8
"ENSMUSG00000031232",60,79,45,77,26,38,35,112,51,60
"ENSMUSG00000031239",324,743,383,808,297,326,376,836,354,415
"ENSMUSG00000031242",123,254,136,233,129,173,96,255,183,166
"ENSMUSG00000031245",30,73,27,72,42,26,6,63,29,21
"ENSMUSG00000031246",57,135,69,163,52,66,52,134,52,72
"ENSMUSG00000031250",1,14,1,7,5,1,4,7,9,3
"ENSMUSG00000031253",12,18,14,11,18,16,11,29,8,9
"ENSMUSG00000031255",6,5,5,13,3,3,0,4,1,2
"ENSMUSG00000031258",1,8,2,8,5,3,7,11,2,9
"ENSMUSG00000031266",21,22,9,19,19,13,13,27,23,17
"ENSMUSG00000031274",3,8,3,7,3,1,6,8,6,2
"ENSMUSG00000031278",42,89,24,99,65,26,50,102,47,82
"ENSMUSG00000031283",58,83,58,94,40,29,31,67,31,60
"ENSMUSG00000031284",11,19,13,22,20,19,14,17,14,15
"ENSMUSG00000031285",24,56,45,49,36,47,40,64,42,65
"ENSMUSG00000031290",12,34,10,56,15,39,11,39,21,16
"ENSMUSG00000031292",103,235,125,252,94,122,187,280,166,214
"ENSMUSG00000031303",9,46,19,35,12,24,17,33,16,26
"ENSMUSG00000031323",19,54,34,69,13,30,20,39,28,16
"ENSMUSG00000031327",46,58,69,63,28,73,44,57,61,55
"ENSMUSG00000031333",9,28,16,30,13,9,16,28,12,23
"ENSMUSG00000031342",601,1366,958,1252,569,839,485,1083,595,471
"ENSMUSG00000031343",74,211,124,207,136,124,130,219,130,126
"ENSMUSG00000031344",8,15,6,22,3,12,16,17,10,7
"ENSMUSG00000031347",46,100,31,157,71,24,39,122,57,72
"ENSMUSG00000031349",30,65,25,73,36,29,35,84,53,38
"ENSMUSG00000031352",173,371,162,382,191,135,122,391,183,255
"ENSMUSG00000031355",23,56,22,51,24,36,27,50,22,43
"ENSMUSG00000031357",83,162,63,151,61,66,38,161,86,94
"ENSMUSG00000031364",2,7,9,11,7,6,12,12,8,9
"ENSMUSG00000031365",2,5,3,5,1,8,9,5,4,3
"ENSMUSG00000031367",121,249,56,282,91,83,85,222,91,134
"ENSMUSG00000031371",12,24,11,46,14,32,6,35,26,16
"ENSMUSG00000031373",1,3,6,6,3,1,3,8,3,2
"ENSMUSG00000031374",8,21,21,29,7,18,10,21,9,20
"ENSMUSG00000031375",7,7,3,7,2,3,5,7,2,5
"ENSMUSG00000031376",834,1652,1372,1513,900,1522,1110,2008,1128,1104
"ENSMUSG00000031377",3,25,6,13,16,4,3,10,7,6
"ENSMUSG00000031378",52,129,93,155,53,106,108,155,87,71
"ENSMUSG00000031379",2,4,4,11,4,4,1,7,4,6
"ENSMUSG00000031380",7,14,9,12,7,5,5,18,7,6
"ENSMUSG00000031381",17,45,29,62,20,27,15,62,23,17
"ENSMUSG00000031382",0,8,3,5,1,0,2,6,0,3
"ENSMUSG00000031383",0,3,4,8,0,7,5,10,5,1
"ENSMUSG00000031385",142,321,210,322,97,176,116,263,132,129
"ENSMUSG00000031393",144,255,306,283,178,263,205,266,253,223
"ENSMUSG00000031409",56,140,51,143,54,50,84,130,68,99
"ENSMUSG00000031428",2081,4727,2252,5207,2295,2468,2140,5641,2498,2509
"ENSMUSG00000031429",143,302,139,292,107,91,59,260,95,134
"ENSMUSG00000031432",28,86,57,82,43,51,30,86,77,35
"ENSMUSG00000031433",11,16,9,14,16,1,5,22,9,13
"ENSMUSG00000031438",42,115,45,113,50,34,48,112,43,58
"ENSMUSG00000031445",117,338,228,362,136,220,163,302,157,167
"ENSMUSG00000031447",1919,4960,2571,4914,1869,2582,2064,4755,2050,2171
"ENSMUSG00000031451",697,1414,1100,1463,566,1163,914,1804,921,854
"ENSMUSG00000031458",67,238,122,208,91,140,158,246,86,122
"ENSMUSG00000031465",19,24,16,31,11,12,9,26,4,15
"ENSMUSG00000031467",380,796,461,815,397,376,300,789,397,467
"ENSMUSG00000031478",4,12,9,17,3,4,5,9,1,8
"ENSMUSG00000031480",53,90,57,80,24,66,40,116,51,46
"ENSMUSG00000031482",148,316,135,288,131,164,142,309,191,178
"ENSMUSG00000031483",515,1116,604,1148,476,618,436,1043,452,546
"ENSMUSG00000031485",545,1174,685,1257,508,599,504,1206,555,573
"ENSMUSG00000031486",192,282,287,335,135,238,282,333,175,211
"ENSMUSG00000031487",57,218,138,211,86,163,128,241,106,113
"ENSMUSG00000031488",33,68,39,75,22,18,25,48,29,38
"ENSMUSG00000031489",3,7,5,7,3,1,2,5,4,5
"ENSMUSG00000031490",7,11,8,12,2,5,10,19,7,9
"ENSMUSG00000031491",1,4,3,2,0,4,8,11,5,4
"ENSMUSG00000031492",10,11,16,14,13,30,35,99,43,41
"ENSMUSG00000031493",4,4,14,10,7,3,8,6,6,2
"ENSMUSG00000031494",0,0,0,1,1,1,5,7,1,3
"ENSMUSG00000031497",8,15,5,37,3,17,5,25,10,13
"ENSMUSG00000031502",17,37,69,45,24,52,33,50,50,26
"ENSMUSG00000031504",2,4,3,4,2,8,2,6,2,9
"ENSMUSG00000031505",213,522,345,541,213,333,237,536,217,222
"ENSMUSG00000031506",28,152,81,137,50,94,78,146,78,65
"ENSMUSG00000031508",378,831,583,872,294,571,417,861,385,401
"ENSMUSG00000031513",712,1746,796,1650,806,640,843,1715,793,971
"ENSMUSG00000031517",10118,22437,9810,22370,12019,8652,10117,25794,12651,15984
"ENSMUSG00000031518",4,16,5,5,1,0,1,18,3,3
"ENSMUSG00000031519",7,18,3,12,5,5,2,10,4,6
"ENSMUSG00000031520",13,51,19,68,29,21,23,52,30,35
"ENSMUSG00000031521",35,81,40,79,37,46,17,59,29,22
"ENSMUSG00000031527",101,228,117,244,140,84,107,297,116,157
"ENSMUSG00000031529",1047,2324,1397,2264,1024,1624,1371,2669,1374,1579
"ENSMUSG00000031530",104,159,220,146,127,146,179,234,162,156
"ENSMUSG00000031532",1665,3572,2340,3701,1759,2297,2225,4253,2016,2225
"ENSMUSG00000031533",110,230,120,277,133,96,116,300,96,165
"ENSMUSG00000031534",148,394,192,343,162,235,181,501,233,238
"ENSMUSG00000031536",212,494,229,536,173,238,225,656,246,284
"ENSMUSG00000031538",210,510,331,657,269,239,181,462,214,230
"ENSMUSG00000031539",1284,2826,1826,3232,1490,1655,1333,3338,1385,1503
"ENSMUSG00000031540",28,71,50,51,33,33,24,54,35,28
"ENSMUSG00000031545",747,1958,1270,1985,871,1233,802,2063,980,945
"ENSMUSG00000031546",105,221,120,257,137,128,104,295,101,128
"ENSMUSG00000031548",60,142,161,197,93,143,139,280,123,149
"ENSMUSG00000031551",83,242,61,261,77,77,77,218,89,98
"ENSMUSG00000031555",554,1206,632,1261,649,534,464,1407,605,653
"ENSMUSG00000031556",248,735,445,680,277,423,384,766,347,390
"ENSMUSG00000031557",9,18,21,28,17,21,7,38,16,9
"ENSMUSG00000031558",200,422,379,454,291,356,337,695,366,383
"ENSMUSG00000031562",9,34,17,31,2,22,7,39,24,10
"ENSMUSG00000031563",545,982,653,1062,492,626,528,1123,645,581
"ENSMUSG00000031568",56,144,92,191,87,97,106,191,86,113
"ENSMUSG00000031574",1,7,6,14,1,4,4,14,8,4
"ENSMUSG00000031576",18,36,16,32,10,15,7,32,13,14
"ENSMUSG00000031577",143,282,133,280,105,118,117,222,103,125
"ENSMUSG00000031578",102,232,81,221,98,84,101,282,106,142
"ENSMUSG00000031583",84,187,111,219,80,86,76,182,88,102
"ENSMUSG00000031584",30,62,35,68,38,42,30,114,50,39
"ENSMUSG00000031585",79,175,83,184,91,57,62,200,75,121
"ENSMUSG00000031586",10,7,13,18,5,17,11,19,3,8
"ENSMUSG00000031590",96,226,76,281,99,77,76,292,108,160
"ENSMUSG00000031592",1121,2305,1003,2585,1246,1061,891,2633,1256,1616
"ENSMUSG00000031595",2,4,2,4,2,2,4,6,0,5
"ENSMUSG00000031600",1009,1917,835,2042,946,815,1004,2212,976,1345
"ENSMUSG00000031605",2853,6055,3142,5952,2607,3093,1970,5624,2744,2759
"ENSMUSG00000031609",19,72,34,84,26,31,30,76,32,30
"ENSMUSG00000031610",98,310,119,372,93,160,173,466,141,140
"ENSMUSG00000031613",17,50,13,72,9,7,5,22,15,8
"ENSMUSG00000031616",10,33,25,19,11,14,13,29,16,14
